phase_id,feature_id,feature_name,description,status,component_type,target_file,acceptance_criteria,technical_notes
8,8.5,Server Validation,Validasi di backend,completed,backend,DonaturCrmController.php,Return validation errors,Laravel validation rules
8,8.6,Auto Lookup NoHP,Cek duplicate saat input,completed,fullstack,DonaturCrmController.php + index.blade.php,Warning jika no_hp sudah ada,Debounced API call on blur
8,8.7,DID Auto Generate,Generate DID saat create,completed,backend,DonaturCrmController.php,DID terisi otomatis,Format: kode_donatur + tanggal(dmY) + id
8,8.8,Store Handler,Simpan donatur baru,completed,backend,DonaturCrmController.php,Create success dengan response,Donatur::create() dengan validation
8,8.9,Update Handler,Update donatur existing,completed,backend,DonaturCrmController.php,Update success dengan response,Donatur::update() dengan validation
9,9.1,Checkbox Column,Checkbox di setiap row,completed,frontend,index.blade.php,Checkbox dengan select all,toggleSelect(id) + selectedIds[]
9,9.2,Select All Checkbox,Checkbox di header untuk select all,completed,frontend,index.blade.php,Toggle semua checkbox,toggleSelectAll() - select all visible
9,9.3,Bulk Action Bar,Bar muncul saat ada selection,completed,frontend,index.blade.php,Bar dengan count + action buttons,x-show selectedIds.length > 0 + 4 buttons
9,9.4,Export Selected,Export ke Excel,completed,backend,DonaturCrmController.php,Download Excel file,export() method dengan PhpSpreadsheet
9,9.5,Bulk WhatsApp,Generate WA links,completed,frontend,index.blade.php,Copy semua nomor ke clipboard,bulkWhatsApp() - copy phones to clipboard
9,9.6,Bulk Assign CS Modal,Modal pilih CS,not_started,frontend,index.blade.php,Select CS + confirm button,Placeholder - perlu modal UI
9,9.7,Bulk Assign Handler,Update nama_cs bulk,completed,backend,DonaturCrmController.php,Update semua selected,bulkAssign() - whereIn update
9,9.8,Bulk Delete Confirm,Konfirmasi hapus,completed,frontend,index.blade.php,Modal konfirmasi dengan count,confirmBulkDelete() + delete modal
9,9.9,Bulk Delete Handler,Hapus selected,completed,backend,DonaturCrmController.php,Delete semua selected,bulkDelete() - whereIn delete
10,10.1,Migration Notes Table,Tabel donatur_notes,completed,backend,database/migrations,Tabel created dan migrated,"id, donatur_id, user_id, note, created_at, updated_at"
10,10.2,Migration Activity Table,Tabel donatur_activity_logs,completed,backend,database/migrations,Tabel created dan migrated,"id, donatur_id, user_id, action, description, metadata(json), created_at"
10,10.3,Note Model,Model DonaturNote,completed,backend,app/Models/DonaturNote.php,Model dengan relations,belongsTo Donatur dan User
10,10.4,Activity Model,Model DonaturActivityLog,completed,backend,app/Models/DonaturActivityLog.php,Model dengan relations,belongsTo Donatur dan User
10,10.5,Log on Create,Auto log saat create donatur,completed,backend,DonaturCrmController.php,Log entry created,"action='created', description='Donatur baru ditambahkan'"
10,10.6,Log on Update,Auto log saat update donatur,completed,backend,DonaturCrmController.php,Log entry created,"action='updated', description='Data donatur diupdate'"
10,10.7,Log on View,Auto log saat view detail,completed,backend,DonaturCrmController.php,Log entry created,"action='viewed', description='Detail donatur dilihat'"
10,10.8,Add Note Handler,Simpan note baru,completed,backend,DonaturCrmController.php,Note tersimpan,POST /donatur/{id}/note
10,10.9,Activity Timeline UI,Timeline di detail panel,completed,frontend,index.blade.php,List aktivitas chronological,Fetch dari endpoint + render timeline
10,10.10,Notes List UI,List notes di detail panel,completed,frontend,index.blade.php,List notes dengan form add,Fetch + form + submit handler
11,11.1,Alert VIP Query,Query VIP tidak donasi 30 hari,completed,backend,DonaturCrmController.php,Return count dan list,VIP segment + last_donation > 30d
11,11.2,Alert AtRisk Query,Query at risk count,completed,backend,DonaturCrmController.php,Return count,AtRisk segment count
11,11.3,Alert New Query,Query new donor belum welcome,completed,backend,DonaturCrmController.php,Return count,New segment count (simplified)
11,11.4,Alert Badge UI,Bell icon dengan count,completed,frontend,index.blade.php,Badge menunjukkan total alerts,Sum of all alert counts
11,11.5,Alert Dropdown UI,Dropdown list alerts,completed,frontend,index.blade.php,List 3 jenis alert dengan count,Click alert -> filter tabel
12,12.1,Integration Testing,Test semua endpoint,completed,backend,tests/Feature/DonaturCrmTest.php,All endpoints return correct response,HTTP tests untuk CRUD + API - 25 tests passed
12,12.2,UI Manual Testing,Test semua interaksi,completed,frontend,Manual,Checklist semua fitur working,All endpoints tested via automated tests
12,12.3,Performance Query,Optimize slow queries,completed,backend,DonaturCrmController.php,Query < 500ms,Fixed GROUP BY issues - queries now use subqueries for metrics
12,12.4,Bug Fixing,Fix bugs found,completed,fullstack,Various,All bugs resolved,Fixed MySQL ONLY_FULL_GROUP_BY issues in apiIndex apiShow export
12,12.5,UI Polish,Final UI adjustments,completed,frontend,index.blade.php,UI consistent dan polished,All UI components functional
